"","Date","TmaxC","TminC","RHmax","RHmin","SolRadMax","WSmin","WSmax"
"1","01-01","14.284631785714","4.22772690476205","93.8897458928571","57.9087869345238","252.859406809524","1.042999999851","3.91344286919662"
"2","01-02","14.015189404762","3.83184107142904","95.0191601904762","58.9086467619048","266.169170166666","1.215414285693","4.04057132859272"
"3","01-03","13.873766547619","3.87371952381","95.0628375833333","59.4376009047619","262.17953402381","1.128142857228","3.77903285705772"
"4","01-04","14.29021202381","3.95329119047602","95.3120859404762","57.657963047619","259.610080380952","1.134528571386","4.0170586333759"
"5","01-05","13.763251071429","3.99794488095205","94.7178644047619","58.7412982619048","262.944629","1.151557142772","3.98343258818038"
"6","01-06","13.825778095238","4.066910714286","92.7858306071429","57.5192783452381","265.076849642858","1.079185714158","3.89447562012772"
"7","01-07","13.984546666667","4.35338095238103","92.2503842619048","57.6122971071429","265.17294204762","1.451685714456","3.48571925292496"
"8","01-08","13.950806785714","4.47706428571405","91.5380641309524","56.7073426666667","264.312758166666","1.279271428614","3.9372670118622"
"9","01-09","14.64551452381","5.336213809524","91.4226529404762","57.1509525595238","262.74125295238","1.000428571386","4.25002476194734"
"10","01-10","14.78921547619","5.47286392857103","91.3862855357143","57.6118419880952","266.298056595238","1.106857142772","3.71996765960896"
"11","01-11","14.692330595238","5.04095333333305","88.8635067380952","56.3812003214286","271.82844145238","1.187742857079","3.91388759625434"
"12","01-12","15.06909702381","5.43231297619002","88.4813561666667","53.7587125357143","275.296665095238","1.25585714307","3.2035802464538"
"13","01-13","15.059346190476","5.40768083333302","87.2022758214286","53.3667021190476","256.566499309524","1.419757142772","3.60810338818038"
"14","01-14","15.035912261905","5.75305083333302","87.8424109047619","56.0291245238095","262.658337595238","1.16645714307","3.89044412597762"
"15","01-15","15.147175952381","5.27933095238103","88.5268968690476","54.3095164166667","278.56039897619","1.096214285544","4.11312404064648"
"16","01-16","15.3425225","5.17143880952403","87.3486841785714","52.38657575","282.239627380952","1.047257142921","3.84721119636472"
"17","01-17","15.2390325","5.15685880952401","88.8904366190476","54.1990685","283.204006595238","1.098342857079","3.98076753101624"
"18","01-18","15.441745833333","5.28123476190501","88.4541111785714","52.4026238452381","279.053817","1.200514285842","3.85313797844372"
"19","01-19","15.986718452381","5.82085059523803","87.5702049047619","51.9718988809524","269.240199333334","1.147300000149","3.58043481651766"
"20","01-20","15.96438","5.58668738095201","88.2388788214286","51.783549202381","275.889247928572","1.413371428614","4.0500946761479"
"21","01-21","16.131508928571","5.96668440476202","88.7368477142857","52.2915814166667","288.162059071428","1.096214285544","4.0712026549322"
"22","01-22","16.12817702381","5.75224904761905","89.1663971071429","52.4188377261905","279.463305071428","1.285657142772","4.01066375151372"
"23","01-23","16.261073333333","6.20271666666702","89.4788424166667","53.7375559880952","285.346217166666","1.270757142921","3.94724919993614"
"24","01-24","16.537681666667","6.50235916666702","89.3366287023809","53.88884625","278.910897785714","1.332485714307","4.04689901426442"
"25","01-25","16.821874880952","6.70887285714304","89.0992935119048","53.2950169880952","281.081495","1.409114285544","4.2331568192179"
"26","01-26","16.846055595238","7.17765000000003","87.8646927619048","54.6594875","279.050297809524","1.07705714307","4.95918094264428"
"27","01-27","17.210904642857","7.129001547619","87.5492053095238","52.1271076428571","310.149985333334","1.185614285544","4.02282680255124"
"28","01-28","17.346450595238","7.38793642857104","88.2194175833333","52.5808287857143","307.296788761904","0.985528571535","4.5448697879888"
"29","01-29","17.471544166667","7.252968690476","88.7245431428571","52.4438504642857","323.30068404762","0.9834","4.6242367904762"
"30","01-30","17.507027380952","7.13219809523804","89.4940970714286","51.8684138928571","326.808829380952","0.957857142921","4.81042983326948"
"31","01-31","17.287666190476","6.96815107142902","89.4184870952381","53.3113079404762","322.05454745238","0.972757142772","4.90328653818038"
"32","02-01","17.167537857143","6.88749678571401","89.0892875","52.9260417261905","335.113933214286","1.011071428614","5.26805655948124"
"33","02-02","17.154609880952","6.68715369047601","89.3628179047619","50.7338176666667","364.12255695238","1.217542857228","4.30623541039104"
"34","02-03","17.303708571429","6.26375630952401","89.6398911666667","49.0775615357143","366.006583928572","1.15794285693","4.31907207997476"
"35","02-04","17.64107","6.12058559523803","90.5282247380952","49.5297963452381","375.04921645238","0.974885714307","4.64333369997872"
"36","02-05","17.812448333333","6.81440761904804","90.0120099166667","51.184372547619","370.95410595238","1.091957142921","4.933535477079"
"37","02-06","18.034859404762","7.125757023809","89.6634787619048","50.3913551309524","379.759964071428","1.094085714456","5.01069707363924"
"38","02-07","18.117365714286","7.02273952381","90.931548547619","50.673097047619","385.692826833334","1.4751","3.96207571904762"
"39","02-08","18.419508214286","7.19203952381002","90.0203383571429","50.4048650714286","399.206530142858","1.226057142921","4.45821857612662"
"40","02-09","18.699273333333","7.36152202381004","90.2209511547619","49.8331372142857","380.322003714286","1.306942857228","4.53066565467676"
"41","02-10","18.797360595238","7.40796047619","92.5243459880952","50.1727065476191","396.771511857142","1.275014285544","4.30822640636076"
"42","02-11","18.864766547619","7.581966547619","91.214789047619","49.6627602261905","403.57907154762","1.281400000149","4.25290528794624"
"43","02-12","18.672391309524","6.93001595238104","93.6801919642857","51.1590134761905","380.68204152381","0.981271428465","4.72256329058262"
"44","02-13","18.722851071429","6.84253976190502","94.0500468690476","50.3907190714286","387.565524619048","1.536828571386","4.49223534766162"
"45","02-14","18.670407857143","6.95379500000001","93.44024775","50.9593837738095","388.525892261904","1.428271428465","5.04886106034452"
"46","02-15","18.495158571429","6.960200952381","94.3125476428571","50.4518452380952","383.616624261904","1.123885714158","5.38142850822296"
"47","02-16","18.265157261905","6.77095845238102","94.0180280238095","51.1002065119048","394.604133428572","1.313328571386","5.02482960099496"
"48","02-17","18.280296547619","6.088744404762","94.9670318928571","49.8981010476191","414.618696904762","1.244895","4.81824566595238"
"49","02-18","18.941307857143","6.44465773809503","93.2929623928571","47.8201118452381","413.168398714286","1.061625","4.1184707547619"
"50","02-19","19.405760357143","6.52958595238101","94.4942799404762","48.2989153095238","404.548502619048","1.48404","4.33366971857142"
"51","02-20","19.47255797619","7.12320702381004","94.89395825","48.9959815238095","407.018038571428","1.606965","4.14928049904762"
"52","02-21","19.310971428571","6.748011904762","95.2360117857143","49.5842836547619","419.481989857142","1.22031","4.647817"
"53","02-22","19.4336975000001","7.01511571428603","94.9827776785714","49.3622271428571","412.48464554762","1.23372","4.85171420928572"
"54","02-23","19.254121428571","6.92647964285703","95.714582","50.3304302619048","416.854250619048","1.0728","4.8098204452381"
"55","02-24","19.318792142857","6.64773285714301","94.3984221547619","48.2301341904762","440.479084285714","1.222545","5.30018759761904"
"56","02-25","19.68610797619","7.08105226190503","94.7423736904762","49.0224208214286","440.979108714286","1.271715","4.49962334833334"
"57","02-26","20.028852857143","7.32929476190503","93.5939260833333","47.3542491547619","458.284301738096","1.081314285693","5.30090950811652"
"58","02-27","19.797190595238","7.50535488095204","92.4520754047619","47.3669781071429","463.184422166666","1.372928571237","4.18481923662014"
"59","02-28","20.010368333333","7.53723345238103","92.501587452381","46.7812543690476","466.456628309524","1.172842857228","4.97325454896248"
"60","03-01","20.010001428571","7.18186500000002","93.5493136190476","46.9068511904762","463.324836309524","1.213285714158","4.54040128822296"
"61","03-02","20.339871428571","6.575907619048","95.6994405952381","46.0914997261905","479.641444642858","1.272885714456","4.1435360760202"
"62","03-03","20.521181428571","7.23845761904801","94.4081429761905","46.7142605357143","493.239157380952","1.5645","4.14168018095238"
"63","03-04","20.816326666667","7.14830619047603","95.0889632261905","45.7866178928571","524.054202857142","1.398471428763","4.23878319266558"
"64","03-05","21.145170119048","7.577684761905","94.403938297619","45.7931038095238","516.779753095238","1.406985714456","4.41584259982972"
"65","03-06","21.039234047619","8.16211380952404","93.930281702381","47.0457202380952","500.67177547619","1.219671428763","4.47013063790366"
"66","03-07","20.80890452381","7.81138880952403","94.6939446071429","47.8878769285714","526.55659904762","1.087699999851","5.03874058348234"
"67","03-08","20.468206309524","7.76150392857102","95.1474488571429","48.3487790238095","510.955397761904","1.219671428763","4.83503208552272"
"68","03-09","20.318616190476","7.82842357142903","95.703545797619","48.4062502380952","538.310373333334","1.432528571535","4.64630662132214"
"69","03-10","20.666586190476","7.58580523809502","96.0286191904762","47.4006565","554.405151666666","1.264371428763","4.8741068664751"
"70","03-11","20.895290357143","7.76744202381002","94.9301613571429","46.7124541190476","558.711846904762","1.132399999851","4.81974792252996"
"71","03-12","21.128531309524","8.049174285714","94.0634941309524","45.6749436547619","565.196990714286","1.011071428614","5.1880616118622"
"72","03-13","21.442905714286","8.02099154761902","93.1182865595238","43.9491804404762","569.690929285714","1.4304","4.95992792142858"
"73","03-14","21.608020714286","8.00019678571402","92.5617229166667","43.5578236071429","584.518557142858","1.483614285693","4.9449859738308"
"74","03-15","21.644179285714","8.46695571428603","92.6532418571429","44.705425","576.81453095238","1.487871428763","5.19874715695128"
"75","03-16","21.652441309524","8.01838738095205","92.6158754285714","44.0051770595238","601.911166190476","1.155814285842","4.603276464158"
"76","03-17","21.726670238095","7.81850035714302","92.6249408095238","42.7445018452381","608.723396666666","1.272885714456","4.42836579792496"
"77","03-18","21.545472857143","7.91853071428602","92.4711830238095","43.0219496309524","598.271892142858","1.055771428614","5.29274644043362"
"78","03-19","21.876131190476","7.63920369047599","93.1894402261905","42.0087855357143","619.844010357142","1.040871428763","5.24058693790366"
"79","03-20","21.751881190476","8.110755952381","92.6209714404762","42.7154364523809","598.651706190476","1.311199999851","4.86690707395852"
"80","03-21","21.868004642857","7.94119785714304","94.0545433095238","42.772339952381","604.869414166666","0.996171428763","5.06482160933224"
"81","03-22","21.865934285714","8.00752023809503","94.1870388571429","42.1416050119048","602.941976428572","1.600685714307","4.7734122952168"
"82","03-23","22.080762857143","7.72577452381","93.862001202381","41.3676156666667","632.023448809524","1.489999999851","4.30965235729186"
"83","03-24","22.111641071429","7.734260833333","93.0126402261905","41.1371611309524","613.644983571428","1.370800000149","5.18620393080338"
"84","03-25","21.9347225","7.54083202381003","92.8222321071429","41.0617379761905","626.772778571428","1.596428571237","4.9268198740011"
"85","03-26","21.945343333333","7.57568071428602","93.4572674404762","40.7000629642857","644.449854761904","1.807157142921","4.47683724041234"
"86","03-27","22.19227702381","7.36491226190503","91.3072591309524","38.9448363214286","652.77516","1.770971428614","4.3463329118622"
"87","03-28","22.356851785714","7.84506500000003","88.7899789047619","38.0770801547619","657.815046190476","1.258305","5.09392336666666"
"88","03-29","22.551547619048","7.61814547619002","89.1348891428571","37.5686253452381","654.424632380952","1.262242857228","5.56937831658152"
"89","03-30","22.892372023809","7.628019166667","89.1269678809524","36.6453614880952","671.41729047619","1.666671428763","4.46805187290366"
"90","03-31","23.225243571429","8.084253928571","86.8203369285714","36.076178202381","670.27449952381","1.453814285544","4.74689100255124"
"91","04-01","23.85252047619","8.42191726190504","86.5568041666667","35.2294994166667","660.71379797619","1.628357142921","4.37328442493614"
"92","04-02","23.537066666667","8.312272857143","86.2467545238095","35.5014286666667","667.553266190476","1.289914285842","5.367064664158"
"93","04-03","23.704042142857","7.77971892857101","87.4016299880952","34.6402448452381","685.256631666666","1.709242857228","4.38547716420058"
"94","04-04","24.152547261905","8.412865357143","85.3978801428571","34.2329176547619","698.91369845238","1.378995","4.52087075714286"
"95","04-05","24.415638214286","8.761488928571","84.0844792738095","33.8067540238095","661.066783809524","1.772355","4.10706551428572"
"96","04-06","24.36211452381","8.56913642857103","86.2441185357143","34.889681047619","666.549212380952","1.49298","5.01403310619048"
"97","04-07","24.676862142857","8.77504607142902","85.2480796190476","33.9570156428571","680.412087142858","1.55556","5.01193839142858"
"98","04-08","24.699136666667","8.81378761904801","83.4771154642857","33.0594719285714","693.834587619048","1.54215","4.68052480380952"
"99","04-09","25.05867952381","9.10219107142905","82.6366228214286","32.6465659285714","701.554861428572","1.57791","5.12656718571428"
"100","04-10","25.340169047619","9.14072369047602","82.9137385","32.6832078095238","692.904571428572","1.72989","4.75359046428572"
"101","04-11","25.185448928571","9.38259107142903","80.224663452381","31.9243742380952","682.55271904762","1.551728571237","5.20784708257252"
"102","04-12","25.173331190476","9.29309809523801","81.5251470714286","32.1877105119048","704.512439428572","1.528314285693","4.91664138335462"
"103","04-13","25.367719285714","9.34299773809505","79.7881104880952","31.2583021428571","728.813056190476","1.536828571386","4.8493415690902"
"104","04-14","25.814773452381","9.51116511904803","79.0460166547619","30.416961547619","714.840601190476","1.502771428614","4.99182475710028"
"105","04-15","25.849697738095","9.62211797619","78.2315386785714","30.3082967619048","710.017906190476","1.636871428614","4.7105276309098"
