"","Date","TmaxC","TminC","RHmax","RHmin","SolRadMax","WSmin","WSmax"
"1","01-01","15.958072857143","5.96172011904804","96.0255101666667","60.5346398809524","257.540277571428","1.178668420935","4.33246273501738"
"2","01-02","16.213699642857","6.049567261905","96.4352652857143","59.6351783690476","247.47870502381","1.110442105122","5.06794047678276"
"3","01-03","16.376132619048","6.27696202381003","96.0057520714286","59.4808379761905","258.512746714286","1.006926315813","4.37202284847272"
"4","01-04","16.064527261905","6.49781059523804","93.527304952381","60.4278940952381","243.127298928572","1.008942857079","4.4845941133972"
"5","01-05","16.250919880952","5.91177892857104","94.5436465833333","59.3547070714286","257.865876404762","1.11324285693","4.97288089902238"
"6","01-06","16.35572452381","5.73733559523805","94.6659045714286","58.5917831547619","264.233978666666","1.038742857228","4.97501527372438"
"7","01-07","16.35562047619","6.21989547619","95.0938416547619","58.9006298690476","252.796052380952","1.096214285544","4.49276755017028"
"8","01-08","15.939459166667","5.69883928571403","95.2143538452381","59.1750941904762","258.046360761904","1.057900000149","4.27340340794624"
"9","01-09","15.787476190476","5.67324011904805","95.4728379404762","60.0209739642857","251.176701642858","1.085571428763","4.04694181957034"
"10","01-10","15.745323690476","6.04902083333303","93.8862577023809","60.5474178928571","254.363123333334","0.921671428614","4.40335029281458"
"11","01-11","15.736930238095","6.021647261905","94.7699756309524","60.0058430595238","263.951295785714","1.177099999851","4.3072495596728"
"12","01-12","16.109873690476","6.04676821428603","94.158470952381","57.9455674761905","265.847549833334","1.2516","4.04199484761904"
"13","01-13","16.252740595238","6.287309285714","94.51222625","58.57291925","264.61257154762","1.179228571386","3.93590996766162"
"14","01-14","16.540141428571","6.17679535714302","93.0497003571429","56.4773033214286","278.863374285714","0.97914285693","4.77212662521286"
"15","01-15","16.680841904762","6.12461309523803","94.3027878452381","54.9669929523809","281.493780904762","1.089828571386","4.21553723647114"
"16","01-16","16.62243047619","6.31907142857102","92.8302977023809","54.81654825","277.581000571428","1.177099999851","4.0792798906252"
"17","01-17","16.724755357143","6.52912904761905","93.8530342261905","57.2398468095238","273.202668357142","1.106857142772","3.98984382103752"
"18","01-18","16.743761309524","6.80813047619","93.8406609880952","58.0283164166667","270.980006809524","1.070671428465","4.48000213439214"
"19","01-19","16.985945357143","6.88903238095202","93.6134963333333","57.8942215238095","268.30214904762","1.066414285842","4.49631358320562"
"20","01-20","16.910709404762","6.60663035714305","93.1505629047619","56.6453457142857","267.182352642858","1.147300000149","4.6202765546129"
"21","01-21","17.032370595238","6.67624023809503","92.1994285238095","55.8131667857143","267.235944238096","1.062157142772","4.39211896913276"
