"","Date","TmaxC","TminC","RHmax","RHmin","SolRadMax","WSmin","WSmax"
"1","01-01","16.439149047619","6.44649023809501","98.7512957976191","64.2533954761905","248.164661738096","1.042999999851","3.743103300149"
"2","01-02","15.965749642857","6.13841380952402","99.0272297738095","65.8299579047619","250.118700738096","1.215414285693","4.32770898335462"
"3","01-03","16.078676309524","6.44826238095203","98.3078075357143","64.5618977261905","257.486858738096","1.128142857228","3.54231576658152"
"4","01-04","16.659830714286","7.17851952381","96.9066523333333","62.5878270476191","251.07328052381","1.134528571386","3.63145476194734"
"5","01-05","16.805561785714","7.27051369047604","97.2776223809524","62.7806754761905","250.4612095","1.151557142772","4.1714747477042"
"6","01-06","16.886459642857","7.066736785714","92.7842213571429","60.9843613571429","258.658389214286","1.079185714158","4.46740255250866"
"7","01-07","16.88280297619","7.55078464285702","93.4751384523809","61.8302070714286","249.530045095238","1.451685714456","4.26723810221066"
"8","01-08","16.414793928571","7.05950226190504","93.6786838690476","61.6719066071429","270.289607595238","1.279271428614","3.5384017418622"
"9","01-09","16.358375","7.48545416666701","92.441080702381","60.4311056309524","257.291592738096","1.000428571386","4.21615756670924"
"10","01-10","16.531453333333","7.45147630952403","92.1388044761905","59.7261498809524","252.5435875","1.106857142772","3.85684880365658"
"11","01-11","16.833719523809","7.881704047619","90.4554262857143","60.8338144166667","259.268272738096","1.187742857079","4.23987338577814"
"12","01-12","17.124523452381","7.74709523809503","90.8492307857143","60.4187879404762","264.593453380952","1.25585714307","3.3444308474062"
"13","01-13","16.958931666667","7.57440892857102","90.4015386785714","60.2508077857143","268.69995195238","1.419757142772","3.5297060524661"
"14","01-14","16.892510476191","7.17056333333301","91.0043101547619","58.4554421666667","269.40279447619","1.16645714307","4.10231744026334"
"15","01-15","16.935575357143","6.82603785714304","90.5247339047619","57.3169131785714","274.575503595238","1.096214285544","4.31689970112266"
"16","01-16","16.961068809524","6.96531845238104","89.4479406309524","54.5032890119048","271.882328333334","1.047257142921","3.9429528118409"
"17","01-17","17.143803214286","7.436867857143","89.5947051190476","58.0729564880952","259.825516714286","1.098342857079","4.05045116196862"
"18","01-18","17.517682619048","7.992811190476","89.8367062142857","58.4293039285714","268.55126345238","1.200514285842","3.9607778236818"
"19","01-19","17.598978690476","8.01253547619001","90.2491724642857","59.7467101190476","255.01033152381","1.147300000149","4.53483358318434"
"20","01-20","17.480614285714","7.61150321428602","89.8529352976191","58.103053797619","267.124167809524","1.413371428614","4.51172413567172"
"21","01-21","17.558265952381","7.38099833333303","92.517640452381","57.3043105833333","266.677040619048","1.096214285544","4.22859335659886"
"22","01-22","18.255950238095","7.96943273809501","92.2198180595238","56.5650399404762","269.933476619048","1.285657142772","4.0324878619899"
"23","01-23","18.223366428571","8.19622678571403","90.918072047619","57.3835258809524","265.281007761904","1.270757142921","3.769582857079"
"24","01-24","18.13074797619","8.32834630952402","92.0080534285714","58.8303937202381","269.900016333334","1.332485714307","4.52074836283586"
"25","01-25","18.126544642857","8.48160678571401","91.0510057142857","58.0128084285714","279.97368395238","1.409114285544","4.37956379778934"
"26","01-26","17.631529404762","7.99387369047605","89.724542","59.1609135595238","278.049812738096","1.07705714307","4.39901767502524"
"27","01-27","18.078596071429","8.05831964285704","90.2915316428571","57.2065254880952","291.662170904762","1.185614285544","4.11236665636076"
"28","01-28","18.461928571429","8.225533928571","90.5201007738095","54.9319134642857","302.86833054762","0.985528571535","4.65779997989358"
"29","01-29","18.244565238095","8.21456059523803","89.7060340119048","54.6723443809524","303.063625642858","0.9834","5.44186059285714"
"30","01-30","17.888014285714","7.74246226190502","90.8725967261905","55.8835145","313.32946745238","0.957857142921","4.40742428565042"
"31","01-31","18.215715714286","8.18519380952404","91.2125360952381","57.6453880238095","321.574693","0.972757142772","4.80247211056134"
"32","02-01","18.37053202381","8.19967928571401","91.2135353571429","56.80380075","326.629073095238","1.011071428614","4.39143152043362"
"33","02-02","18.492122857143","8.230598928571","90.6826496785714","55.5588175119048","359.993110857142","1.217542857228","4.74115395443866"
"34","02-03","18.559304047619","8.20635785714302","91.1687011785714","56.3980990357143","344.753982571428","1.15794285693","4.07119718878428"
"35","02-04","18.806205","8.69751488095204","90.2111341071429","55.7436211547619","330.261126619048","0.974885714307","5.46632625140728"
"36","02-05","18.623636547619","8.55910309523802","94.3475663333333","60.1417828809524","345.289155666666","1.091957142921","5.14751544279328"
"37","02-06","18.741919880952","8.243977738095","94.9414300119048","56.7530651071429","375.417317333334","1.094085714456","4.5585000707821"
"38","02-07","19.015237738095","8.07596357142904","95.0808848214286","55.951487797619","380.140182761904","1.4751","4.1501667604762"
"39","02-08","19.288920952381","8.028983452381","95.4518851666667","54.194746952381","385.771303333334","1.226057142921","4.34529464993614"
"40","02-09","19.071815238095","7.93164797619005","94.0895477619048","53.7827199047619","387.167028190476","1.306942857228","3.9637196380101"
"41","02-10","19.452228333333","8.07370964285701","96.3699290476191","53.9327913095238","387.361007595238","1.275014285544","4.2990995039798"
